#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABCC1	ERBB2	9606.ENSP00000382342	9606.ENSP00000269571	0	0	0	0	0.057	0	0	0.426	0.436
ABCC1	ALCAM	9606.ENSP00000382342	9606.ENSP00000305988	0	0	0	0	0.087	0.329	0	0.184	0.457
ABCC1	CCL19	9606.ENSP00000382342	9606.ENSP00000308815	0	0	0	0	0	0	0	0.434	0.434
ABCC1	PSEN1	9606.ENSP00000382342	9606.ENSP00000326366	0	0	0	0	0.055	0	0	0.424	0.433
ABCC1	DPP4	9606.ENSP00000382342	9606.ENSP00000353731	0	0	0	0	0.042	0	0	0.481	0.481
ABCC1	LTB4R2	9606.ENSP00000382342	9606.ENSP00000445772	0	0	0	0	0.093	0	0	0.684	0.701
ACKR2	CX3CL1	9606.ENSP00000416996	9606.ENSP00000006053	0	0	0	0	0.049	0	0	0.436	0.441
ACKR2	CCL22	9606.ENSP00000416996	9606.ENSP00000219235	0	0	0	0	0.064	0	0.500	0.956	0.977
ACKR2	CCL17	9606.ENSP00000416996	9606.ENSP00000219244	0	0	0	0	0.042	0	0.500	0.981	0.990
ACKR2	CCL2	9606.ENSP00000416996	9606.ENSP00000225831	0	0	0	0	0	0	0.500	0.972	0.985
ACKR2	CCL1	9606.ENSP00000416996	9606.ENSP00000225842	0	0	0	0	0	0	0	0.809	0.809
ACKR2	CCL13	9606.ENSP00000416996	9606.ENSP00000225844	0	0	0	0	0.050	0.292	0	0.854	0.893
ACKR2	CCR7	9606.ENSP00000416996	9606.ENSP00000246657	0	0	0	0.795	0.042	0	0	0.833	0.833
ACKR2	CCL21	9606.ENSP00000416996	9606.ENSP00000259607	0	0	0	0	0	0	0	0.992	0.992
ACKR2	CCL27	9606.ENSP00000416996	9606.ENSP00000259631	0	0	0	0	0	0	0	0.998	0.998
ACKR2	IL1B	9606.ENSP00000416996	9606.ENSP00000263341	0	0	0	0	0	0	0	0.481	0.481
ACKR2	APP	9606.ENSP00000416996	9606.ENSP00000284981	0	0	0	0	0	0	0	0.416	0.416
ACKR2	CXCL13	9606.ENSP00000416996	9606.ENSP00000286758	0	0	0	0	0	0	0	0.685	0.685
ACKR2	CXCR5	9606.ENSP00000416996	9606.ENSP00000292174	0	0	0	0.774	0	0	0	0.490	0.489
ACKR2	CCR2	9606.ENSP00000416996	9606.ENSP00000292301	0	0	0	0.843	0	0	0	0.803	0.803
ACKR2	CCR5	9606.ENSP00000416996	9606.ENSP00000292303	0	0	0	0.848	0.042	0	0	0.668	0.668
ACKR2	CXCL16	9606.ENSP00000416996	9606.ENSP00000293778	0	0	0	0	0.044	0	0	0.641	0.642
ACKR2	VCAM1	9606.ENSP00000416996	9606.ENSP00000294728	0	0	0	0	0	0.098	0	0.772	0.785
ACKR2	CXCR1	9606.ENSP00000416996	9606.ENSP00000295683	0	0	0	0.824	0	0	0	0.477	0.477
ACKR2	CXCL5	9606.ENSP00000416996	9606.ENSP00000296027	0	0	0	0	0	0	0	0.530	0.530
ACKR2	CCR1	9606.ENSP00000416996	9606.ENSP00000296140	0	0	0	0.871	0	0	0	0.824	0.824
ACKR2	CCL11	9606.ENSP00000416996	9606.ENSP00000302234	0	0	0	0	0.042	0	0.500	0.607	0.795
ACKR2	IL16	9606.ENSP00000416996	9606.ENSP00000302935	0	0	0	0	0	0.071	0	0.416	0.434
ACKR2	S1PR1	9606.ENSP00000416996	9606.ENSP00000305416	0	0	0	0	0	0	0	0.620	0.620
ACKR2	CXCL10	9606.ENSP00000416996	9606.ENSP00000305651	0	0	0	0	0	0	0	0.723	0.723
ACKR2	CXCL8	9606.ENSP00000416996	9606.ENSP00000306512	0	0	0	0	0	0	0	0.675	0.675
ACKR2	CXCL11	9606.ENSP00000416996	9606.ENSP00000306884	0	0	0	0	0	0	0	0.672	0.672
ACKR2	CCL19	9606.ENSP00000416996	9606.ENSP00000308815	0	0	0	0	0.060	0	0	0.965	0.965
ACKR2	XCR1	9606.ENSP00000416996	9606.ENSP00000310405	0	0	0	0.842	0.049	0	0	0.436	0.440
ACKR2	CXCR2	9606.ENSP00000416996	9606.ENSP00000319635	0	0	0	0.837	0	0	0	0.451	0.451
ACKR2	CCR8	9606.ENSP00000416996	9606.ENSP00000326432	0	0	0	0.854	0.047	0	0	0.577	0.580
ACKR2	CXCL14	9606.ENSP00000416996	9606.ENSP00000337065	0	0	0	0	0	0	0	0.418	0.418
ACKR2	CCR6	9606.ENSP00000416996	9606.ENSP00000343952	0	0	0	0.823	0	0	0	0.615	0.615
ACKR2	C5AR1	9606.ENSP00000416996	9606.ENSP00000347197	0	0	0	0.670	0	0	0	0.402	0.402
ACKR2	CCRL2	9606.ENSP00000416996	9606.ENSP00000349967	0	0	0	0.749	0	0	0	0.697	0.697
ACKR2	CCR9	9606.ENSP00000416996	9606.ENSP00000350256	0	0	0	0.819	0	0	0	0.406	0.406
ACKR2	CX3CR1	9606.ENSP00000416996	9606.ENSP00000351059	0	0	0	0.820	0	0	0	0.438	0.438
ACKR2	CCL20	9606.ENSP00000416996	9606.ENSP00000351671	0	0	0	0	0	0	0	0.814	0.814
ACKR2	DPP4	9606.ENSP00000416996	9606.ENSP00000353731	0	0	0	0	0	0	0	0.543	0.543
ACKR2	CCL28	9606.ENSP00000416996	9606.ENSP00000354416	0	0	0	0	0.060	0	0	0.862	0.865
ACKR2	CXCL9	9606.ENSP00000416996	9606.ENSP00000354901	0	0	0	0	0	0	0	0.702	0.702
ACKR2	XCL1	9606.ENSP00000416996	9606.ENSP00000356792	0	0	0	0	0	0	0	0.621	0.621
ACKR2	CXCR3	9606.ENSP00000416996	9606.ENSP00000362795	0	0	0	0.818	0	0	0	0.518	0.518
ACKR2	LPAR1	9606.ENSP00000416996	9606.ENSP00000363553	0	0	0	0	0	0	0	0.437	0.437
