#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACVR1C	TGFBR3	9606.ENSP00000243349	9606.ENSP00000212355	0	0	0	0	0.055	0.098	0	0.379	0.425
ACVR1C	TGFB1	9606.ENSP00000243349	9606.ENSP00000221930	0	0	0	0	0	0.126	0	0.645	0.677
ACVR1C	BMP10	9606.ENSP00000243349	9606.ENSP00000295379	0	0	0	0	0.044	0.126	0	0.411	0.464
ACVR1C	TGFB2	9606.ENSP00000243349	9606.ENSP00000355896	0	0	0	0	0	0.126	0	0.415	0.466
ACVR1C	CER1	9606.ENSP00000243349	9606.ENSP00000370297	0	0	0	0	0	0.050	0.400	0.148	0.472
ACVR1C	TGFBR2	9606.ENSP00000243349	9606.ENSP00000351905	0	0	0	0.775	0.132	0.091	0	0.505	0.575
ACVR1C	BMP4	9606.ENSP00000243349	9606.ENSP00000245451	0	0	0	0	0.053	0.457	0	0.517	0.730
ACVR1C	MSTN	9606.ENSP00000243349	9606.ENSP00000260950	0	0	0	0	0.049	0.126	0	0.705	0.734
ACVR1C	SMAD4	9606.ENSP00000243349	9606.ENSP00000341551	0	0	0	0	0.055	0.091	0.500	0.626	0.817
ACVR1C	SMAD3	9606.ENSP00000243349	9606.ENSP00000332973	0	0	0	0	0.067	0.126	0.900	0.608	0.963
ACVR1C	SMAD2	9606.ENSP00000243349	9606.ENSP00000262160	0	0	0	0	0.067	0.126	0.900	0.807	0.982
ACVR1C	ACVR2B	9606.ENSP00000243349	9606.ENSP00000340361	0	0	0	0.793	0.142	0.152	0.900	0.967	0.997
ACVR2B	TGFBR3	9606.ENSP00000340361	9606.ENSP00000212355	0	0	0	0	0	0.098	0	0.640	0.661
ACVR2B	AMH	9606.ENSP00000340361	9606.ENSP00000221496	0	0	0	0	0.062	0.126	0	0.354	0.425
ACVR2B	TGFB1	9606.ENSP00000340361	9606.ENSP00000221930	0	0	0	0	0.048	0.126	0	0.715	0.742
ACVR2B	BMP4	9606.ENSP00000340361	9606.ENSP00000245451	0	0	0	0	0.055	0.139	0.900	0.927	0.993
ACVR2B	MYOD1	9606.ENSP00000340361	9606.ENSP00000250003	0	0	0	0	0.042	0	0	0.487	0.488
ACVR2B	MSTN	9606.ENSP00000340361	9606.ENSP00000260950	0	0	0	0	0.048	0.635	0.900	0.999	0.999
ACVR2B	SMAD2	9606.ENSP00000340361	9606.ENSP00000262160	0	0	0	0	0.086	0.354	0.900	0.755	0.983
ACVR2B	FZD7	9606.ENSP00000340361	9606.ENSP00000286201	0	0	0	0	0.067	0.071	0	0.449	0.481
ACVR2B	BMP10	9606.ENSP00000340361	9606.ENSP00000295379	0	0	0	0	0.048	0.354	0	0.753	0.835
ACVR2B	SMAD1	9606.ENSP00000340361	9606.ENSP00000305769	0	0	0	0	0.086	0.126	0.500	0.230	0.651
ACVR2B	SMAD3	9606.ENSP00000340361	9606.ENSP00000332973	0	0	0	0	0.086	0.126	0.900	0.648	0.968
ACVR2B	TGFB2	9606.ENSP00000340361	9606.ENSP00000355896	0	0	0	0	0.063	0.126	0	0.380	0.448
ACVR2B	CER1	9606.ENSP00000340361	9606.ENSP00000370297	0	0	0	0	0.044	0.052	0.400	0.116	0.455
ACVR2B	IGF1	9606.ENSP00000340361	9606.ENSP00000376637	0	0	0	0	0	0.063	0	0.484	0.496
ACVR2B	DDR1	9606.ENSP00000340361	9606.ENSP00000427552	0	0	0	0	0.053	0.165	0	0.426	0.506
ACVR2B	TGFBR2	9606.ENSP00000340361	9606.ENSP00000351905	0	0	0	0.823	0	0.577	0	0.619	0.831
ACVR2B	SMAD4	9606.ENSP00000340361	9606.ENSP00000341551	0	0	0	0	0	0.091	0.500	0.760	0.881
ACVR2B	BMPR1B	9606.ENSP00000340361	9606.ENSP00000401907	0	0	0.084	0.771	0.135	0.152	0.800	0.865	0.978
ACVR2B	BMPR1A	9606.ENSP00000340361	9606.ENSP00000361107	0	0	0	0.751	0.153	0.845	0.800	0.839	0.995
ADAM15	GLI3	9606.ENSP00000349436	9606.ENSP00000379258	0	0	0	0	0.042	0	0	0.438	0.438
ADAM15	SH3GL2	9606.ENSP00000349436	9606.ENSP00000369981	0	0	0	0	0	0.301	0	0.748	0.816
ADAM15	SRC	9606.ENSP00000349436	9606.ENSP00000362680	0	0	0	0	0.076	0.657	0	0.667	0.885
ADARB1	TARBP2	9606.ENSP00000353920	9606.ENSP00000266987	0	0	0	0.597	0	0.547	0	0.194	0.619
ADARB1	CYFIP2	9606.ENSP00000353920	9606.ENSP00000479719	0	0	0	0	0.069	0	0	0.396	0.415
ADM	LEP	9606.ENSP00000436607	9606.ENSP00000312652	0	0	0	0	0.047	0	0	0.418	0.421
ADM	EDNRA	9606.ENSP00000436607	9606.ENSP00000315011	0	0	0	0	0	0	0	0.527	0.527
ADM	EDN3	9606.ENSP00000436607	9606.ENSP00000337128	0	0	0	0	0	0	0	0.464	0.463
ADM	AGT	9606.ENSP00000436607	9606.ENSP00000355627	0	0	0	0	0.055	0	0	0.736	0.739
ADM	GNAS	9606.ENSP00000436607	9606.ENSP00000360141	0	0	0	0	0	0.800	0.500	0.066	0.898
ADM	SRC	9606.ENSP00000436607	9606.ENSP00000362680	0	0	0	0	0	0	0.500	0.219	0.593
ADM	EDN1	9606.ENSP00000436607	9606.ENSP00000368683	0	0	0	0	0.064	0	0	0.829	0.834
ADM	NPPC	9606.ENSP00000436607	9606.ENSP00000387159	0	0	0	0	0	0	0	0.541	0.541
ADM	CGA	9606.ENSP00000436607	9606.ENSP00000482232	0	0	0	0	0.047	0	0.400	0.049	0.408
ADRA1A	EDN3	9606.ENSP00000369960	9606.ENSP00000337128	0	0	0	0	0.044	0.134	0	0.407	0.466
ADRA1A	AGT	9606.ENSP00000369960	9606.ENSP00000355627	0	0	0	0	0.042	0	0.500	0.559	0.770
ADRA1A	EDN1	9606.ENSP00000369960	9606.ENSP00000368683	0	0	0	0	0	0.128	0	0.490	0.536
AGT	TGFB1	9606.ENSP00000355627	9606.ENSP00000221930	0	0	0	0	0	0	0	0.812	0.812
AGT	COMP	9606.ENSP00000355627	9606.ENSP00000222271	0	0	0	0	0.056	0	0	0.461	0.469
AGT	MSTN	9606.ENSP00000355627	9606.ENSP00000260950	0	0	0	0	0.067	0	0	0.398	0.414
AGT	PDGFRB	9606.ENSP00000355627	9606.ENSP00000261799	0	0	0	0	0.086	0	0	0.374	0.404
AGT	SMAD2	9606.ENSP00000355627	9606.ENSP00000262160	0	0	0	0	0	0.045	0	0.630	0.632
AGT	FGF10	9606.ENSP00000355627	9606.ENSP00000264664	0	0	0	0	0.057	0	0	0.628	0.634
AGT	SRF	9606.ENSP00000355627	9606.ENSP00000265354	0	0	0	0	0	0	0	0.454	0.454
AGT	FGF7	9606.ENSP00000355627	9606.ENSP00000267843	0	0	0	0	0.076	0	0	0.642	0.655
AGT	TP53	9606.ENSP00000355627	9606.ENSP00000269305	0	0	0	0	0	0.230	0	0.509	0.605
AGT	ATM	9606.ENSP00000355627	9606.ENSP00000278616	0	0	0	0	0	0	0	0.476	0.476
AGT	APP	9606.ENSP00000355627	9606.ENSP00000284981	0	0	0	0	0.080	0	0.400	0.380	0.627
AGT	STC1	9606.ENSP00000355627	9606.ENSP00000290271	0	0	0	0	0	0	0	0.425	0.425
AGT	MED1	9606.ENSP00000355627	9606.ENSP00000300651	0	0	0	0	0	0	0.400	0	0.400
AGT	COL3A1	9606.ENSP00000355627	9606.ENSP00000304408	0	0	0	0	0.061	0.051	0	0.450	0.467
AGT	PLG	9606.ENSP00000355627	9606.ENSP00000308938	0	0	0	0	0.161	0.045	0	0.614	0.663
AGT	LEP	9606.ENSP00000355627	9606.ENSP00000312652	0	0	0	0	0.042	0	0	0.719	0.719
