#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACE2	CD4	9606.ENSP00000389326	9606.ENSP00000011653	0	0	0	0	0	0	0	0.788	0.788
ACE2	CCL2	9606.ENSP00000389326	9606.ENSP00000225831	0	0	0	0	0	0	0	0.712	0.712
ACE2	APOE	9606.ENSP00000389326	9606.ENSP00000252486	0	0	0	0	0	0	0	0.432	0.432
ACE2	PIKFYVE	9606.ENSP00000389326	9606.ENSP00000264380	0	0	0	0	0	0	0	0.479	0.479
ACE2	ICAM1	9606.ENSP00000389326	9606.ENSP00000264832	0	0	0	0	0	0	0	0.654	0.654
ACE2	NRP1	9606.ENSP00000389326	9606.ENSP00000265371	0	0	0	0	0.057	0	0	0.821	0.824
ACE2	EGFR	9606.ENSP00000389326	9606.ENSP00000275493	0	0	0	0	0.058	0	0	0.575	0.583
ACE2	CCR5	9606.ENSP00000389326	9606.ENSP00000292303	0	0	0	0	0	0	0	0.526	0.526
ACE2	ITGA5	9606.ENSP00000389326	9606.ENSP00000293379	0	0	0	0	0	0.236	0	0.735	0.788
ACE2	TPCN2	9606.ENSP00000389326	9606.ENSP00000294309	0	0	0	0	0	0	0	0.442	0.442
ACE2	ITGA2	9606.ENSP00000389326	9606.ENSP00000296585	0	0	0	0	0	0.363	0	0.116	0.412
ACE2	ANPEP	9606.ENSP00000389326	9606.ENSP00000300060	0	0	0	0	0.095	0	0	0.936	0.939
ACE2	AXL	9606.ENSP00000389326	9606.ENSP00000301178	0	0	0	0	0	0	0	0.403	0.403
ACE2	SLC6A19	9606.ENSP00000389326	9606.ENSP00000305302	0	0	0	0	0.152	0.981	0	0.996	0.999
ACE2	CD209	9606.ENSP00000389326	9606.ENSP00000315477	0	0	0	0	0	0.045	0	0.779	0.779
ACE2	CLEC4M	9606.ENSP00000389326	9606.ENSP00000316228	0	0	0	0	0	0.294	0	0.977	0.983
ACE2	CLEC4G	9606.ENSP00000389326	9606.ENSP00000327599	0	0	0	0	0	0.045	0	0.509	0.511
ACE2	BSG	9606.ENSP00000389326	9606.ENSP00000333769	0	0	0	0	0	0.052	0	0.968	0.968
ACE2	SIGLEC1	9606.ENSP00000389326	9606.ENSP00000341141	0	0	0	0	0	0	0	0.434	0.434
ACE2	CTSL	9606.ENSP00000389326	9606.ENSP00000345344	0	0	0	0	0	0	0	0.805	0.805
ACE2	CTSB	9606.ENSP00000389326	9606.ENSP00000345672	0	0	0	0	0	0	0	0.693	0.693
ACE2	DPP4	9606.ENSP00000389326	9606.ENSP00000353731	0	0	0	0	0.060	0	0.900	0.995	0.999
ACE2	HSP90AB1	9606.ENSP00000389326	9606.ENSP00000360609	0	0	0	0	0	0	0	0.503	0.503
ACE2	TFRC	9606.ENSP00000389326	9606.ENSP00000376197	0	0	0	0	0	0.226	0	0.519	0.611
ACE2	ITGB1	9606.ENSP00000389326	9606.ENSP00000379350	0	0	0	0	0	0.363	0	0.857	0.905
ACE2	IRF7	9606.ENSP00000389326	9606.ENSP00000380697	0	0	0	0	0.055	0	0	0.435	0.443
ACE2	EFNB2	9606.ENSP00000389326	9606.ENSP00000493716	0	0	0	0	0	0	0	0.441	0.441
